PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
40,fix,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/src/assets/cmd.js, src-tauri/tauri.conf.json, src/view/LanguageModel/index.tsx",2022-12-17T13:50:55Z,2022-12-17T13:51:10Z,lencx,fix: tray window style optimization (#39),,
38,dev,".gitattributes, README-ZH_CN.md, README.md, UPDATE_LOG.md, assets/chat-cmd-1.png, assets/chat-cmd-2.png, assets/chatgpt.gif, chat.model.json, chat.model.md, package.json, scripts/download.js, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/cmd.js, src-tauri/src/assets/core.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/tauri.conf.json, src/components/Tags/index.tsx, src/hooks/useChatModel.ts, src/hooks/useColumns.ts, src/hooks/useData.ts, src/hooks/useInit.ts, src/layout/index.scss, src/layout/index.tsx, src/routes.tsx, src/utils.ts, src/view/ChatGPTPrompts.tsx",2022-12-17T10:12:01Z,2022-12-17T10:12:10Z,lencx,feat: chatgpt prompts,,
32,dev,".gitattributes, .github/workflows/release.yml, .gitignore, AWESOME.md, README-ZH.md, README.md, UPDATE_LOG.md, assets/auto-update.png, assets/chat-ua.png, assets/chat.png, assets/control-center.png, assets/tray-login.png, dist/.gitkeep, index.html, package.json, scripts/download.js, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/core.js, src-tauri/src/assets/export.js, src-tauri/src/assets/origin.js, src-tauri/src/assets/ua.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/tauri.conf.json, src/layout/index.scss, src/layout/index.tsx, src/main.scss",2022-12-15T05:53:27Z,2022-12-15T05:53:38Z,lencx,feat: control center,,
29,doc,"README-ZH.md, README.md, public/logo.png",2022-12-13T12:02:55Z,2022-12-13T12:03:28Z,lencx,readme,,
27,doc,"LICENSE, README-ZH.md, README.md",2022-12-13T06:22:21Z,2022-12-13T06:22:36Z,lencx,License,,
26,doc,"README-ZH.md, README.md",2022-12-13T04:49:14Z,2022-12-13T04:49:19Z,lencx,add chinese,,
23,dev,"AWESOME.md, README.md, UPDATE_LOG.md, src-tauri/src/app/menu.rs, src-tauri/src/conf.rs, src-tauri/tauri.conf.json",2022-12-12T11:32:28Z,2022-12-12T11:32:36Z,lencx,menu optimization,,
22,doc,README.md,2022-12-12T08:30:11Z,2022-12-12T08:30:18Z,lencx,readme,,
21,doc,README.md,2022-12-12T08:26:44Z,2022-12-12T08:26:50Z,lencx,readme,,
19,doc,"README.md, assets/chat-ua.png",2022-12-12T06:14:00Z,2022-12-12T06:14:07Z,lencx,readme,,
